id,context,prompt,speaker_utterance,listener_utterance,exchange_number,s_word_len,l_word_len,empathy,,
hit:9009_conv:18019,anxious,i have an appointment with the doctor on thursday and it has me so worried,this is the first in a line of tests that i have to do. i am dying on the inside a little bit,I am so sorry to hear. What is the problem?,2,23,10,3,,
hit:9009_conv:18019,anxious,i have an appointment with the doctor on thursday and it has me so worried,girl part problems.,Ah ok_comma_ yeah my partner has had similar issues recently. I really hope it all works out for you!,3,3,19,3,,
hit:1946_conv:3892,hopeful,I am convinced my family's finances will soon turn around. Hard work and never giving up will be the key to it. I believe it will happen.,Financially_comma_ things will turn around for my family soon!,I hope and wish so. In this tough economic climate many are finding it difficult to cope with financial responsibilities,1,9,20,3,,
hit:1946_conv:3892,hopeful,I am convinced my family's finances will soon turn around. Hard work and never giving up will be the key to it. I believe it will happen.,Yes_comma_ and we had a layoff of five months. I believe in a brighter day_comma_ though_comma_ so I know it will improve.,Being optimistic will help you alleviate much of your accumulated stress,2,22,11,3,,
hit:10167_conv:20335,faithful,I work with several other men that are fairly attractive_comma_ but I love my husband so I want to remain true to him. I do not want to betray his love.,It is good to remain faithful if you are married. Faith and trust are important in a healthy relationship.,I am completely agree. How long have you been married?,1,19,10,3,,
hit:10167_conv:20335,faithful,I work with several other men that are fairly attractive_comma_ but I love my husband so I want to remain true to him. I do not want to betray his love.,I have been married for 14 years now. We have had our ups and downs_comma_ but a good relationship takes work.,Constant work and attention is key to a great relationship!,2,21,10,3,,
hit:2408_conv:4816,grateful,We really are lucky to live in the United States.,Do you ever wake up and realize how lucky we are? I travel a lot and I just got back from Haiti. I am convinced it is better to be poor in America then rich in Haiti.,"That is a profound thought. We definitely take America for granted_comma_ especially when some people say it is in its ""worst state in a long time."" We are prisoners of the moment.",1,37,32,2,,
hit:2408_conv:4816,grateful,We really are lucky to live in the United States.,Those that criticize have not traveled the real world out side resort gates or into the third world. Then you see a real state that is in trouble.,Yeah_comma_ I guess you would know for sure_comma_ since you have seen it first hand. Especially a place like Haiti_comma_ that is just gets pounded with hurricanes. What brought you to Haiti_comma_ if you do not mind me asking?,2,28,39,2,,
hit:5875_conv:11750,disgusted,I went to a park over the weekend where I used to go when I was little and I was sad to see how dirty it was,I went to a park over the weekend where I used to go when I was little and I was sad to see how dirty it was,Oh yea? why is that?,1,27,5,3,,
hit:5875_conv:11750,disgusted,I went to a park over the weekend where I used to go when I was little and I was sad to see how dirty it was,I dont know I guess just people littering,I wish there is a way we can make people care more about the environment,2,8,15,3,,
hit:7038_conv:14076,impressed,My coworker did this presentation at work that was very well done. I was proud of them.,I was really proud of my coworker and their presentation at work recently.,That is nice. It is good to be supportive,1,13,9,3,,
hit:7038_conv:14076,impressed,My coworker did this presentation at work that was very well done. I was proud of them.,It is_comma_ I always try to encourage them to do their best and not to get stressed out.,That creates a great work environment,2,18,6,3,,
hit:8288_conv:16576,guilty,Sometimes I watch ahead on a tv show if there's a cliffhanger. I should wait to watch it with my boyfriend but I don't haha,Sometimes I watch ahead on a tv show if there is a cliffhanger. I should wait to watch it with my boyfriend but I do not haha,lol! My mom used to do that with books_comma_ she would read the ending first.,1,27,15,2,,
hit:8288_conv:16576,guilty,Sometimes I watch ahead on a tv show if there's a cliffhanger. I should wait to watch it with my boyfriend but I don't haha,Oh well that is just spoiling it for herself haha.,Nope she still reads it all. Same thing you do silly! lol,2,10,12,2,,
hit:10832_conv:21664,joyful,When i proposed to my girlfriend_comma_ she said yes! I was so happy,When i proposed to my girlfriend_comma_ she said yes! I was so happy,well that is great news congratulations_comma_ how long have you known each other?,1,13,13,3,,
hit:10832_conv:21664,joyful,When i proposed to my girlfriend_comma_ she said yes! I was so happy,We have known each other for 7 years_comma_ and been dating for 5 - felt like the right time,that is good that you put a lot of effort into it,2,19,12,3,,
hit:4868_conv:9736,joyful,I am looking forward to my work vacation. I will take my wife to the mountains!,I am going on a vacation soon!,Nice! Where will you be going?,1,7,6,3,,
hit:4868_conv:9736,joyful,I am looking forward to my work vacation. I will take my wife to the mountains!,To some type of mountain area and going with my wife!,Well I really hope you two have a great time!,2,11,10,3,,
hit:6563_conv:13127,terrified,I was about to fall asleep the other night when someone loudly banged on my door. By the time I got to the door I could not see anyone. I had so much trouble going to sleep that night.,I awoke to someone banging on my door in the middle of the night. By the time I got to the door I couldnt see anyone out there. I was so scared.,Did you call the police?,1,32,5,3,,
hit:6563_conv:13127,terrified,I was about to fall asleep the other night when someone loudly banged on my door. By the time I got to the door I could not see anyone. I had so much trouble going to sleep that night.,No but if it happens again I will. I ordered a camera for my porch. I couldnt get any sleep that night.,Do you live in a house or an apartment?,2,22,9,3,,
hit:8239_conv:16479,anxious,I'm very socially awkward,I am very socially awkward and tomorrow i am going to have a playdate with some local moms and i am so anxious,"I am right there with you.. I still feel pretty introverted_comma_ but since coming to college_comma_ I have been forced to socialize more_comma_ and it is help me at least ""fake it until I make it."" I still prefer to be alone a lot of the time_comma_ but at least I can somewhat manage without making myself look dumb. Maybe you can just think of some topics/things to talk about to have in the back of your head for the times when things get quiet?",1,23,85,3,,
hit:8239_conv:16479,anxious,I'm very socially awkward,that is a great idea! thank you for a great advice.,I hope it goes well! If it makes you feel any better_comma_ most of them are probably just as nervous and are looking for any excuse to relax and let their guard down_comma_ too. Good luck,2,11,36,3,,
hit:12297_conv:24595,anticipating,I feel anxious when I can't take a moment for myself,When I cannot take a breather in the day I feel suffocated,Yea_comma_ its a good idea to take time for yourself when you can,1,12,13,3,,
hit:12297_conv:24595,anticipating,I feel anxious when I can't take a moment for myself,Right_comma_ it is like I cannot focus or relax,I think relaxing is very important,2,9,6,3,,
hit:3583_conv:7166,afraid,Once_comma_ I was walking home from work and it was late. My street was unusally quiet and there was a man walking quickly behind me. I was very scared. He ended up passing me but he whispered a nasty word as he walked past.,I was walking home from work late a few weeks ago and my street was unusually quiet.,What happened?,1,17,2,3,,
hit:3583_conv:7166,afraid,Once_comma_ I was walking home from work and it was late. My street was unusally quiet and there was a man walking quickly behind me. I was very scared. He ended up passing me but he whispered a nasty word as he walked past.,Well_comma_ there was a man walking really quickly behind me and there was no one around.,Sounds a bit scary. What did you do?,2,16,8,3,,
hit:3583_conv:7166,afraid,Once_comma_ I was walking home from work and it was late. My street was unusally quiet and there was a man walking quickly behind me. I was very scared. He ended up passing me but he whispered a nasty word as he walked past.,I panicked and he caught up. He walked by quickly and said a really nasty word in the creepiest way. But he kept going. My knees were shaking.,Oh my goodness I would have been terrified!,3,28,8,3,,
hit:3583_conv:7166,afraid,Once_comma_ I was walking home from work and it was late. My street was unusally quiet and there was a man walking quickly behind me. I was very scared. He ended up passing me but he whispered a nasty word as he walked past.,Yes_comma_ it was so scary. My heart pounded for at least half an hour. I was shaken.,Thankfully he walked on past you but what a horrible experience all round.,4,17,13,3,,
hit:3701_conv:7403,terrified,This past winter I was sitting on my porch at 4am (couldn't sleep). Suddenly_comma_ out of the dark_comma_ came this tall bulky figure_comma_ dressed totally in black. My heart skipped as I tried to figure out what to do - I'm in a wheelchair.,I had a rather unnerving experience this past winter. Being unable to sleep at 4am_comma_ I went outside for a cigarette (I live in an apartment complex). Suddenly_comma_ out of the darkness_comma_ appeared a tall bulky figure dressed in black. They were coming straight at me!,What did they or the person do to you?,1,46,9,2,,
hit:3701_conv:7403,terrified,This past winter I was sitting on my porch at 4am (couldn't sleep). Suddenly_comma_ out of the dark_comma_ came this tall bulky figure_comma_ dressed totally in black. My heart skipped as I tried to figure out what to do - I'm in a wheelchair.,Well_comma_ I am in a wheelchair_comma_ so cannot move too quickly. I just sat looking at them_comma_ trying to figure out whether I could reach the broom at the corner of the porch.,Broom would be a good choice_comma_ hit them in the crotch_comma_ that will stop them.,2,33,15,2,,
hit:11824_conv:23648,jealous,my brother buying the car i wanted,so my brother bought the car i had my eye on,Oh_comma_ what car was it? Are you jealous?,1,11,8,1,,
hit:11824_conv:23648,jealous,my brother buying the car i wanted,i am !! haha it is a 2004 Subaru Forester.....we both already own wrx..,That is a sweet ride!,2,14,5,1,,
hit:8294_conv:16588,guilty,The day I stole a few dinosaur toys from the local dollar store. I brought them back home to play with.,Mom's going to be mad_comma_ I stole some dinosaur toys,Maybe she will go easy on you_comma_ if this is not something you do often.,1,10,15,1,,
hit:8294_conv:16588,guilty,The day I stole a few dinosaur toys from the local dollar store. I brought them back home to play with.,I hope so.,You should not steal things_comma_ especially non essential things like toys. But you probably know that.,2,3,16,1,,
hit:8132_conv:16264,hopeful,I just finished a major project at work. I'm praying my supervisor likes what I've done for the client,I just finished a major project at work for a client,Awesome! Can you say what kind of project it is?,1,11,10,3,,
hit:8132_conv:16264,hopeful,I just finished a major project at work. I'm praying my supervisor likes what I've done for the client,Not at the moment_comma_ but I am praying my supervisor and client likes it,I hope so too! Projects can be stressful!,2,14,8,3,,
hit:2008_conv:4017,anxious,i felt anxious when i do _comma_my work in office,i felt anxious during my work. the finance related work which gives me satisfaction,Why did you feel anxious?,1,14,5,3,,
hit:2008_conv:4017,anxious,i felt anxious when i do _comma_my work in office,i love my job. i eagerly awaited to achieve and go as long as i want in my life.,Hmm.. I am a little confused. Why were you anxious?,2,19,10,3,,
hit:11060_conv:22121,devastated,I was so lost after our family experienced the most recent round of flooding. It was horrible and continues to be .,This year has been the worst for rains and flooding. My house was recently affected and heavily damaged.,Im sorry to hear that do you have insurance to help you?,1,18,12,3,,
hit:11060_conv:22121,devastated,I was so lost after our family experienced the most recent round of flooding. It was horrible and continues to be .,Absolutely thank goodness. Without it I dont know what I would have done.,Yeah well im glad you atleast have that to help you,2,13,11,3,,
hit:10198_conv:20396,impressed,my friend joined the airforce and became an air traffic controller. Then she got out and became a detective. I'm so proud of her.,my friend joined the airforce and became an air traffic controller.,That sounds like some good work experience. How long is he in.,1,11,12,3,,
hit:10198_conv:20396,impressed,my friend joined the airforce and became an air traffic controller. Then she got out and became a detective. I'm so proud of her.,I am not sure but then they got out and became a police officer and is now a detective!,Well_comma_ hopefully he is as good as Sherlock Holmes and saves some lives.,2,19,13,3,,
hit:422_conv:844,sad,I was looking through some of my old pictures a week or so ago_comma_ and saw a picture of my grandmother who passed away a few years ago,I was looking through some of my old pictures a week or so ago_comma_ and saw a picture of my grandmother who passed away a few years ago,I am sorry to hear that. Were you two very close?,1,28,11,3,,
hit:422_conv:844,sad,I was looking through some of my old pictures a week or so ago_comma_ and saw a picture of my grandmother who passed away a few years ago,Yes_comma_ we were. I used to spend my summer vacations with her when my parents were out of town_comma_ so it allowed me to get really close with her.,That is sweet_comma_ I had the same experience with my own grandma too. God bless you all!,2,29,17,3,,
hit:8696_conv:17392,nostalgic,I remember when fast food used to be really cheap. Those were the good old days.,I remember when fast food used to be really cheap.,Yes_comma_ and you did not have to always buy items for the extra value menu.,1,10,15,3,,
hit:8696_conv:17392,nostalgic,I remember when fast food used to be really cheap. Those were the good old days.,Absolutely! Those were the good old days.,Those are the good old days. Have to use coupons these days!,2,7,12,3,,
hit:589_conv:1179,sad,I was unhappy when my girlfriend broke up with me,Some girls can just breakup with you for no reason,I think there must be a reason for that,1,10,9,2,,
hit:589_conv:1179,sad,I was unhappy when my girlfriend broke up with me,I tried to ask but she refused to say anything. I guess she got a better guy,Oh_comma_thats life_comma_so sorry for that,2,17,5,2,,
hit:7756_conv:15513,prepared,We live in a hurricane area. When one was coming_comma_ we had plenty of water and other supplies,We live in an area that gets hurricanes. When one was coming_comma_ we got flashlights_comma_ batteries and everything you need.,its always good to be prepared. I live in an area that gets hurricanes too. I have even got a generator.,1,20,21,2,,
hit:7756_conv:15513,prepared,We live in a hurricane area. When one was coming_comma_ we had plenty of water and other supplies,That is great. We lost power for a week during one and it was horrible!,Last hurricane I was without power for a whole month. It was miserable.,2,15,13,2,,
hit:1843_conv:3687,annoyed,I was trying to take a nap and my neighbor had her loud tiny dog outside. It kept me up and she wouldn't shut it up for anything.,I was trying to take a nap the other day and my neighbor would not shut her tiny barky dog up.,I totally feel you on that. I swear my neighbors have to be the loudest at night slamming their car doors and yelling outside right in front of my bedroom window.,1,21,31,2,,
hit:1843_conv:3687,annoyed,I was trying to take a nap and my neighbor had her loud tiny dog outside. It kept me up and she wouldn't shut it up for anything.,Ugh_comma_ that is the worst. Thankfully we are on the second floor so we do not have to deal with car noise too much.,My bedroom is first floor_comma_ and literally maybe 4 feet from the parking lot. Lucky me. Lucky you tho too with animals. lol,2,24,23,2,,
hit:133_conv:267,jealous,I hate seeing new cars on the road. My car won't even move.,MY car has been down for about a month. Every time I leave the house I see all brand new cars.,I absolutely hate car issues. Will you be getting it fixed or buying another one?,1,21,15,3,,
hit:133_conv:267,jealous,I hate seeing new cars on the road. My car won't even move.,I am saving for a new one. I did not even have it a year.,Did it have any warranty when you bought it?,2,15,9,3,,
hit:11148_conv:22297,apprehensive,I was at the dog rescue and I wanted only 1 dog but I ended up getting 3_comma_ I hope I can afford them.,I went to the dog rescue shelter the other day to get a dog.,I love dogs! Did you find one?,1,14,7,3,,
hit:11148_conv:22297,apprehensive,I was at the dog rescue and I wanted only 1 dog but I ended up getting 3_comma_ I hope I can afford them.,Oh my goodness_comma_ I found 3_comma_ I hope I can manage them all.,Oh man! You must have your hands full! I bet you are having a ton of fun though,2,13,18,3,,
hit:5461_conv:10923,annoyed,Went to lunch and no one ever came over to wait on us.,Went out to lunch and no one ever came over to greet let alone seat us_comma_ what a waste.,I would never go to that place again. Did you go to a different place?,1,19,15,3,,
hit:5461_conv:10923,annoyed,Went to lunch and no one ever came over to wait on us.,No_comma_ by the time we got there and back into the car_comma_ it was time to head back to work.,that is horrible! I am sorry to hear that. if i was you i would write a bad review on this restaurant's facebook page,2,20,24,3,,
hit:5098_conv:10196,guilty,I don't have a job currently. So today_comma_ I robbed an old lady. I feel bad about it.,I do not have a job currently. So today_comma_ I robbed an old lady. I feel bad about it.,Wow_comma_ that is really extreme. You should feel bad about it.,1,19,11,3,,
hit:5098_conv:10196,guilty,I don't have a job currently. So today_comma_ I robbed an old lady. I feel bad about it.,Yes_comma_ I know. I feel really bad but I need to find money to be able to leave.,What do you need to leave?,2,18,6,3,,
hit:7166_conv:14332,jealous,My coworker just bought a new Mercedes. I am so envious of her.,My coworker just bought a new Mercedes.,Really? It is a nice car to drive.,1,7,8,2,,
hit:7166_conv:14332,jealous,My coworker just bought a new Mercedes. I am so envious of her.,Yeah_comma_ I am so envious of her.,Me too! Must have cost a lot.,2,7,7,2,,
hit:8972_conv:17945,impressed,I just saw the Acropolis when I was on vacation and it was amazing. Everyone should see it!,I saw the Acropolis when I was on vacation. It was pretty cool!,Cool! Did you go to Greece for vacation?,1,13,8,3,,
hit:8972_conv:17945,impressed,I just saw the Acropolis when I was on vacation and it was amazing. Everyone should see it!,Yeah you should definitly go if you get a chance. It was really great!,Sounds awesome_comma_ I have never been to Europe,2,14,8,3,,
hit:2016_conv:4033,devastated,I am so sad these days.,I am so sad these days because the way president Trumps acts.,I would have to agree with you there. I do not trust him at all!,1,12,15,3,,
hit:2016_conv:4033,devastated,I am so sad these days.,And he cannot stop lying all the time.,I agree. I cannot understand how his supporters do not see it! I guess they do not WANT to see it!,2,8,21,3,,
hit:7908_conv:15816,devastated,My sister lost her house due to a fire. We are all pretty much in shock and very sad.,My sister lost her house due to a fire.,That is awful. Where is she staying now ?,1,9,9,3,,
hit:7908_conv:15816,devastated,My sister lost her house due to a fire. We are all pretty much in shock and very sad.,We are all pretty much in shock and very sad. She is staying with us.,I am glad she is got you to look after her.,2,15,11,3,,
hit:7545_conv:15091,lonely,I have a companion now i won't have to be alone,I have a companion now so i will not have to be alone,That is great! I do not like being alone all the time really.,1,13,13,3,,
hit:7545_conv:15091,lonely,I have a companion now i won't have to be alone,Yes it is been 2 years since I get walked out on at the alter. Now I have sorted myself out and have my life in front of me that is why I have decided to get a companion now,Oh that is horrible. Yes_comma_ you have overcome a lot it sounds like! Your outlook seems great now.,2,40,18,3,,
hit:6753_conv:13506,nostalgic,Going through my old case of CD's and coming across some I made in middle school. I really used to love pop punk.,Just found some of my long lost CD's.,thats awesome _comma_ i have not purchased cds in ages lol,1,8,11,2,,
hit:6753_conv:13506,nostalgic,Going through my old case of CD's and coming across some I made in middle school. I really used to love pop punk.,I burned these old ones_comma_ had my favorite pop punk songs ont hem.,i bet that brought back a lot of wonderful memories _comma_ from the good old days,2,13,16,2,,
hit:11251_conv:22502,content,getting married,My boyfriend proposed last night!!,Congratulations! That is awesome! How long have you two been together?,1,5,11,3,,
hit:11251_conv:22502,content,getting married,10 years lol!!!! Took him long enough hahaha,Hah! That is a long time! That is so exciting for you though. I hope wedding planning goes well and is super fun for you!,2,8,25,3,,
hit:4873_conv:9746,excited,I was starting a new job and so thrilled to be doing something different. I'd been at my old job for 6 years.,I am starting a new job next week! Cannot wait to be doing something different for a change!,That is great. What will you be doing at your new job?,1,18,12,3,,
hit:4873_conv:9746,excited,I was starting a new job and so thrilled to be doing something different. I'd been at my old job for 6 years.,Thanks! Graphic design mostly. At my old job I was a manager and it was horrible.,Sometimes being a manager is the worst job you can have at a place_comma_ you seem to be the one who gets blamed for everything.,2,16,25,3,,
hit:11699_conv:23398,content,I just got home from a vacation and feel super relaxed.,I just got home from traveling and it feels so nice.,That is awesome_comma_ where did you go?,1,11,7,3,,
hit:11699_conv:23398,content,I just got home from a vacation and feel super relaxed.,I went to california and had to drive back over 9 hours so it feels great to be done with it.,I love california_comma_ I have some family in Sacramento! And I bet it feels great to be home after a long drive.,2,21,22,3,,
hit:355_conv:711,impressed,I am impressed by leaders who know it's best to surround themselves with people who are smarter/better/more experienced than themselves in some areas.,"I LOVE when leaders know that it actually *helps* them to be surrounded by strong people -- people they can learn from_comma_ that challenge them_comma_ and that in some ways could be considered ""better"".",I agree_comma_ its always nice to have people around you who are smarter in some areas,1,34,16,2,,
hit:355_conv:711,impressed,I am impressed by leaders who know it's best to surround themselves with people who are smarter/better/more experienced than themselves in some areas.,"It is just too many leaders want ""yes men"" and/or people who feel non-threatening. It is a trap and a quick path to mediocrity_comma_ if not failure!",Yes men are definitely a bad idea when it comes to life and business,2,27,14,2,,
hit:4815_conv:9631,lonely,All my friends got to go on vacation_comma_ but I'm stuck here doing work because I have a tight job deadline. It really gets me down,All my friends got to go on vacation_comma_ but I am stuck here doing work because I have a tight job deadline,Thats a bummer! I hope you guys can plan something together once the deadline is over!,1,22,16,2,,
hit:4815_conv:9631,lonely,All my friends got to go on vacation_comma_ but I'm stuck here doing work because I have a tight job deadline. It really gets me down,Maybe_comma_ but I am not sure when another opportunity like this will come. It really gets me down,I know :/ ...just make sure you do something fun when you have a chance!,2,18,15,2,,
hit:11135_conv:22271,trusting,once upon a time my car was break down in middle of the high way at night 2 pm there is no one else to help me. on the time i was workshiped god suddenly one car was came infront of me and help me to lift my car .,So_comma_ what happens next?,So i safely reached home.,1,4,5,1,,
hit:3301_conv:6603,angry,I took this girl on a really nice date and then she said that it went well. Then_comma_ out of the blue_comma_ she dumped me and said she wasn't ready.,It really sucked since I took this girl on a date and she told me it went really well. Well apparently not since she dumped me after.,How did she dump you?,1,27,5,3,,
hit:3301_conv:6603,angry,I took this girl on a really nice date and then she said that it went well. Then_comma_ out of the blue_comma_ she dumped me and said she wasn't ready.,She said that she was not ready for a relationship.,Will you still be friends with her?,2,10,7,3,,
hit:4897_conv:9795,surprised,I was not expecting to have such a good time at our county fair last night.,I took my family out to the county fair last night.,Sounds like a fun time! What did you guys do?,1,11,10,3,,
hit:4897_conv:9795,surprised,I was not expecting to have such a good time at our county fair last night.,We listened to some music_comma_ rode a few rides and saw the exhibits.,glad you guys got to spend some fun fam time together,2,13,11,3,,
hit:3053_conv:6106,impressed,Montreal city have done some major renovation to the downtown area. I very happy with the new improvement.,Montreal city have done some major renovation to the downtown area. I very happy with the new improvement.,That sounds really nice! Does it just look better or is travel better?,1,18,13,2,,
hit:3053_conv:6106,impressed,Montreal city have done some major renovation to the downtown area. I very happy with the new improvement.,It is look better. They made a new park just in front of my office. I can enjoy walking in the park during lunch time.,That will make getting exercise during or after work a lot easier.,2,25,12,2,,
hit:10263_conv:20527,devastated,When my dog died.,I had my dog for 13 years before she passed away last year from cancer. It was devastating!,Oh no I am so sorry to hear that. Are you planning on getting a new dog?,1,18,17,3,,
hit:10263_conv:20527,devastated,When my dog died.,Probably not for a while. She was a great companion_comma_ but I do not think my heart is ready to bring in a new dog quite yet.,Aww_comma_ yeah I know what you mean. Dogs are so lovable. I also have a new pup myself. I got him a couple years ago,2,27,25,3,,
hit:9525_conv:19050,content,When I was told i was selling my house_comma_ and getting a new job on the same day._comma_,I had some of the best news finally after a series of bad events. I am feeling quite at peace.,I am glad to hear it. You must be quite content at this moment.,1,20,14,3,,
hit:9525_conv:19050,content,When I was told i was selling my house_comma_ and getting a new job on the same day._comma_,I am really_comma_ thats exactly how I am feeling.,Enjoy this moment_comma_ and try not to think about the bad that has happened.,2,9,14,3,,
hit:5797_conv:11595,disappointed,My son dropped out of college,I found out my son dropped out of college last semester.,whattttttt....... why did he do that,1,11,6,3,,
hit:5797_conv:11595,disappointed,My son dropped out of college,I do not know_comma_ he got into drugs and partying. I am really disappointed in him.,im sorry to hear that ... hopefully he gets help to deal with issues,2,16,14,3,,
hit:4370_conv:8740,lonely,I just moved to a new city for work. I don't know anyone and I feel far from home.,I just moved for work to a new area where I do not know anyone.,That sounds stressful! How far did you move?,1,15,8,3,,
hit:4370_conv:8740,lonely,I just moved to a new city for work. I don't know anyone and I feel far from home.,Well it is in another state. About 5000 miles. I feel far from home.,That is quite a ways. Do you have any hobbies that could help you meet new people?,2,14,17,3,,
hit:36_conv:73,disgusted,I was getting in a Taxi and noticed someone had thrown up in the backseat.,So after I left the club last night I noticed the Taxi had old throw up in it still.,I would have gotten out right then I believe.,1,19,9,1,,
hit:36_conv:73,disgusted,I was getting in a Taxi and noticed someone had thrown up in the backseat.,I still took it since it was late but I rode in the front seat.,I guess you rolled all the windows down too and held your breath,2,15,13,1,,
hit:4169_conv:8338,proud,I am proud of my girlfriend for getting a full time job_comma_ I am sur she will do great!,I am proud of my girlfriend for getting a full time job_comma_ I am sur she will do great!,Thats awesome i bet she will too! when does she start?,1,19,11,3,,
hit:4169_conv:8338,proud,I am proud of my girlfriend for getting a full time job_comma_ I am sur she will do great!,She starts in exactly a week,woo hoo so you guys going out to celebrate?,2,6,9,3,,
hit:8309_conv:16619,disappointed,When I was a kid_comma_ once or twice they had these people come to the school to sell yoyos. I saved up to buy a really expensive fancy one_comma_ and low and behold, it was just a yoyo.,Okay_comma_ this is going to be a weird question_comma_ but did you guys ever have any Yo-yo sales people come to your school as a kid?,I did actually.,1,26,3,1,
hit:8309_conv:16619,disappointed,When I was a kid_comma_ once or twice they had these people come to the school to sell yoyos. I saved up to buy a really expensive fancy one_comma_ and low and behold, it was just a yoyo.,Why were they allowed to just come to the school? I remember they sold really expensive yo-yos of all things_comma_ and I got so excited because they made them look so fun_comma_ so I saved up my money and bought one and low and behold.. it was just a yoyo.,I am not even sure_comma_ maybe they had a deal in place with the school board?,2,50,16,1,
hit:5573_conv:11146,afraid,School is starting up soon and I'm worried I may not be able to keep up with all of the homework.,So college is starting up soon and I am worried I will not be able to deal with the workload again.,School can be tough. How many credits are you taking on?,1,21,11,2,,
hit:5573_conv:11146,afraid,School is starting up soon and I'm worried I may not be able to keep up with all of the homework.,I wanna say 14 credit hours for engineering classes. I have a part time job too I work 20 hours a week at.,Engineering is already tough. If you can get through this_comma_ I would say you will be very successful in life.,2,23,20,2,,
hit:10566_conv:21133,trusting,I let someone borrow a $230 tool and had to trust them to bring it back.,Someone was broke done right down the street from my house. They noticed my husbands tools in our carport and asked to borrow a $230 tool. I let them and had to trust they would bring it back.,That is an incredible act of kindness for a stranger. Did they return the tool? Was the tool in normal shape when you got it back?,1,38,26,3,,
hit:10566_conv:21133,trusting,I let someone borrow a $230 tool and had to trust them to bring it back.,Yes they returned it back in the same shape it left. It was a family and the dad was working on the car. I felt bad because I know how bad it is to be broke down with kids in the car.,He is probably very grateful for your kindness. Hopefully_comma_ he will return the kindness to someone else.,2,42,17,3,,
hit:4353_conv:8707,embarrassed,I was eating a hot dog at school. I started laughing and almost choked in from of the entire school.,I was eating a hot dog at school. I started laughing and almost choked in from of the entire school.,I lad you was ok did anyone help you or was you embarrassed?,1,20,13,2,,
hit:4353_conv:8707,embarrassed,I was eating a hot dog at school. I started laughing and almost choked in from of the entire school.,No one helped me_comma_ they just all laughed. Luckily_comma_ I was ok.,Now that was mean and cruel nothing funny about that best outcome is you are fine be careful next time.,2,12,20,2,,
hit:8729_conv:17458,anticipating,I am looking forward to the winter. I can't wait for the cold.,I am looking forward to the winter.,Me too_comma_ I am excited for fall_comma_ I like to layer my clothes,1,7,13,2,,
hit:8729_conv:17458,anticipating,I am looking forward to the winter. I can't wait for the cold.,I cannot wait for the cold!,And the snow! I am excited to start skiing again,2,6,10,2,,
hit:3743_conv:7486,confident,I went out on a date the other night. We had a great time and I am very sure that we will go out again sometime soon.,I had the most amazing time the other night and I am so happy and I feel like I am on cloud 9.,Please tell me what happened! I wish I did too!!,1,23,10,3,,
hit:3743_conv:7486,confident,I went out on a date the other night. We had a great time and I am very sure that we will go out again sometime soon.,IÃ¢Â€Â™ve been talking to this girl I met online and we went out on a great date. We had so much fun. Im 100% sure weÃ¢Â€Â™re going to go out again soon.,Well I hope that you two have a bunch of fun. I have been together with my partner for a very long time_comma_ and I feel very lucky.,2,32,28,3,,
hit:3667_conv:7334,surprised,I had a dream where I felt like I was getting rained on. I woke up and saw that my dog as licking me all over. I was so shocked to see him doing that!,The other night I was having this dream where I felt like I was getting rained on. It was a really weird feeling.,Did the dream feel like it was really happening? Strange indeed.,1,23,11,3,,
hit:3667_conv:7334,surprised,I had a dream where I felt like I was getting rained on. I woke up and saw that my dog as licking me all over. I was so shocked to see him doing that!,Well I eventually opened my eyes and saw my dog was licking me all over. I was so shocked I was speechless for a bit.,Hah! So all that time you were just feeling your dog licking you! Weird how that works.,2,25,17,3,,
hit:2111_conv:4222,prepared,I was finally organized for teaching school this year,I am so happy that I have finally gotten a head start on being organized to teach this year,This is so good_comma_ well done,1,19,6,2,,
hit:2111_conv:4222,prepared,I was finally organized for teaching school this year,Thank you. There is so much to do when you are teaching multiple grades,How long have you been on this?,2,14,7,2,,
hit:2570_conv:5141,hopeful,There was a time where I was homeless for about a year_comma_ but I always held out hope that things would get better.,Man I am so glad I was able to climb out of poverty.,That is quite an accomplishment. You must have worked very hard.,1,13,11,3,,
hit:2570_conv:5141,hopeful,There was a time where I was homeless for about a year_comma_ but I always held out hope that things would get better.,I was homeless for about a year. It felt like every day I would just descened even further. But I always held out hope that things would get better.,That must have been a very hard time. Your persistence led you to this success because you never gave up that hope.,2,29,22,3,,
hit:4161_conv:8323,sentimental,I broke up with my girlfriend last week and it was really hard_comma_ we where together for 2 years.,I broke up with my girlfriend last week and it was really hard,Oh no I am sorry to hear about that_comma_ were you together long?,1,13,13,3,,
hit:4161_conv:8323,sentimental,I broke up with my girlfriend last week and it was really hard_comma_ we where together for 2 years.,Yeah we where together for about 2 years but im getting over it now,That is good make yourself available and open for others and you will find the next relationship,2,14,17,3,,
hit:11073_conv:22147,anxious,I have a big date coming up and I can't get these butterfly feelings to go away.,I have a big date coming up and I cannot get these butterfly feelings to go away.,That is normal that just means that the other person is special,1,17,12,3,,
hit:11073_conv:22147,anxious,I have a big date coming up and I can't get these butterfly feelings to go away.,Yeah_comma_ I really think she might be the one. I hope I do not screw it up.,Well i will keep my finger crossed for you!,2,17,9,3,,
hit:9618_conv:19237,surprised,A co-worker of mine was fired at our work. He seemed to be doing a good job though in terms of performance,A co-worker of mine was fired at work,Do you think they deserved it?,1,8,6,1,,
